date,1. open,2. high,3. low,4. close,5. volume
1999-11-01,107.5,107.6,106.5,106.5,559800.0
1999-11-02,107.0,107.7,105.7,105.7,975300.0
1999-11-03,106.8,106.8,105.8,106.2,1025500.0
1999-11-04,107.0,107.4,106.1,106.6,578600.0
1999-11-05,108.0,108.3,106.9,107.5,1139100.0
1999-11-08,106.4,107.6,106.4,107.4,628600.0
1999-11-09,107.9,107.9,106.0,106.3,668000.0
1999-11-10,105.6,106.8,105.4,106.0,825600.0
1999-11-11,106.3,106.6,105.6,106.1,727400.0
1999-11-12,107.0,108.1,105.5,108.1,818200.0
1999-11-15,107.9,108.2,107.3,107.8,573400.0
1999-11-16,108.4,110.0,107.6,109.9,1382000.0
1999-11-17,109.4,109.7,109.0,109.2,433900.0
1999-11-18,109.9,110.7,109.6,110.5,645300.0
1999-11-19,109.9,110.5,109.6,110.0,327800.0
1999-11-22,110.0,111.2,109.8,111.1,324000.0
1999-11-23,111.2,111.2,109.8,110.1,362000.0
1999-11-24,109.6,110.5,109.5,110.1,251600.0
1999-11-26,110.7,110.7,109.4,109.4,165100.0
1999-11-29,109.6,109.9,109.0,109.5,390700.0
1999-11-30,109.5,110.5,108.2,108.7,620000.0
1999-12-01,108.7,110.1,108.7,110.1,435500.0
1999-12-02,110.2,110.8,110.1,110.6,266100.0
1999-12-03,111.8,113.4,111.8,113.0,862700.0
1999-12-06,113.0,113.1,112.0,112.3,304000.0
1999-12-07,112.6,112.8,111.2,111.2,505300.0
1999-12-08,111.0,111.9,110.5,110.5,454800.0
1999-12-09,111.5,112.2,110.5,111.4,832800.0
1999-12-10,112.2,113.0,111.2,112.5,472000.0
1999-12-13,111.7,112.7,111.6,112.2,570900.0
1999-12-14,111.6,112.6,111.5,111.8,536300.0
1999-12-15,111.4,112.9,111.3,112.3,465700.0
1999-12-16,112.7,112.7,111.4,112.4,623500.0
1999-12-17,112.8,114.0,112.8,112.8,472700.0
1999-12-20,113.3,113.3,111.1,111.4,521700.0
1999-12-21,111.1,112.7,110.9,112.1,773700.0
1999-12-22,112.3,112.7,111.9,112.2,407800.0
1999-12-23,113.0,114.5,113.0,114.5,524600.0
1999-12-27,114.6,114.9,113.9,114.1,450400.0
1999-12-28,113.8,115.3,113.8,115.1,769600.0
1999-12-29,115.5,115.6,114.7,114.9,273900.0
1999-12-30,115.5,115.7,114.4,114.5,494700.0
1999-12-31,114.7,115.6,114.4,115.2,549000.0
2000-01-03,116.03,116.03,113.0,113.5,1278800.0
2000-01-04,112.3,113.0,109.8,109.8,1535700.0
2000-01-05,110.0,112.0,109.0,111.8,2007000.0
2000-01-06,111.4,113.2,111.2,111.8,2639500.0
2000-01-07,113.3,115.6,113.2,115.5,3767400.0
2000-01-10,116.8,116.8,115.4,116.0,762900.0
2000-01-11,115.2,116.8,115.0,115.1,1658700.0
2000-01-12,115.5,116.2,115.2,115.4,813300.0
2000-01-13,116.0,116.6,115.2,115.9,1192200.0
2000-01-14,117.5,117.5,116.1,117.5,1935500.0
2000-01-18,116.4,116.9,115.5,115.7,656500.0
2000-01-19,115.6,115.8,114.6,115.6,1003400.0
2000-01-20,115.9,116.0,112.7,113.7,887000.0
2000-01-21,114.2,114.2,112.3,112.8,783200.0
2000-01-24,113.3,113.6,109.1,110.0,2066100.0
2000-01-25,110.6,110.9,108.8,110.3,1728200.0
2000-01-26,110.2,111.4,110.1,110.5,1001400.0
2000-01-27,111.1,111.6,109.2,110.5,853900.0
2000-01-28,109.8,110.1,107.1,107.4,1253300.0
2000-01-31,107.1,109.6,107.0,109.5,996600.0
2000-02-01,109.6,110.7,109.0,110.3,786500.0
2000-02-02,110.4,111.2,109.7,109.7,618100.0
2000-02-03,110.6,110.7,108.2,110.5,863300.0
2000-02-04,110.4,111.0,109.3,109.8,474000.0
2000-02-07,109.2,109.5,108.4,108.8,718900.0
2000-02-08,109.9,110.3,109.1,109.3,993100.0
2000-02-09,109.2,109.4,106.8,106.9,819900.0
2000-02-10,107.3,107.6,106.0,107.0,1263500.0
2000-02-11,106.6,106.6,103.6,104.5,2148400.0
2000-02-14,105.0,105.6,104.6,105.5,1300800.0
2000-02-15,105.6,107.9,105.0,107.4,1360000.0
2000-02-16,106.9,107.7,105.8,106.0,725800.0
2000-02-17,106.8,106.9,104.7,104.8,1164100.0
2000-02-18,105.0,105.0,102.0,102.3,1526700.0
2000-02-22,102.9,103.5,101.0,102.8,1518800.0
2000-02-23,103.0,103.5,101.6,102.3,1558900.0
2000-02-24,102.6,102.7,99.56,102.0,4518700.0
2000-02-25,100.6,101.5,98.19,98.56,3316900.0
2000-02-28,99.19,101.6,98.25,100.1,3068300.0
2000-02-29,101.2,102.1,100.4,101.6,1205000.0
2000-03-01,101.8,102.8,100.7,101.6,1136200.0
2000-03-02,101.5,102.3,101.0,101.7,576000.0
2000-03-03,103.3,104.5,103.0,103.9,1678200.0
2000-03-06,103.8,104.0,101.1,101.7,1220500.0
2000-03-07,101.5,101.5,97.53,98.0,3745500.0
2000-03-08,98.75,99.38,97.16,98.47,2618900.0
2000-03-09,98.84,100.4,97.31,100.3,1715100.0
2000-03-10,99.91,101.1,98.97,99.56,1352600.0
2000-03-13,96.84,100.2,96.84,99.63,1506500.0
2000-03-14,100.3,100.7,98.0,98.47,854300.0
2000-03-15,98.63,102.0,97.66,101.6,2040200.0
2000-03-16,102.6,106.9,102.4,106.8,4857700.0
2000-03-17,106.0,107.7,105.7,106.1,3710500.0
2000-03-20,106.3,107.3,105.9,106.8,1812000.0
2000-03-21,106.6,109.2,105.9,109.1,2310300.0
2000-03-22,109.2,109.3,107.8,108.6,2434800.0
2000-03-23,108.4,111.5,108.3,111.1,1894400.0
2000-03-24,110.5,112.5,110.3,111.1,1903400.0
2000-03-27,111.3,111.9,109.7,109.8,1431300.0
2000-03-28,109.1,111.0,109.1,109.4,1575100.0
2000-03-29,109.8,111.2,108.9,110.8,1426600.0
2000-03-30,109.9,111.5,108.9,110.1,3573300.0
2000-03-31,110.8,111.3,109.1,109.4,1103400.0
2000-04-03,109.3,112.7,109.1,112.7,1411100.0
2000-04-04,112.6,114.3,106.3,111.7,6635600.0
2000-04-05,110.3,112.3,109.9,110.4,3400700.0
2000-04-06,111.4,112.2,110.4,111.4,2279700.0
2000-04-07,112.0,112.0,110.6,110.9,1027100.0
2000-04-10,111.2,113.0,110.9,112.1,1833500.0
2000-04-11,112.3,113.7,110.8,113.3,3624800.0
2000-04-12,113.9,114.5,110.5,110.5,3620700.0
2000-04-13,111.4,111.6,108.8,109.0,4333100.0
