date,1. open,2. high,3. low,4. close,5. volume
2000-05-26,91.38,91.38,91.38,91.38,20000.0
2000-05-30,94.38,94.94,94.38,94.94,52100.0
2000-05-31,94.78,94.78,94.78,94.78,200.0
2000-06-01,95.88,96.5,95.88,96.5,10200.0
2000-06-02,100.59,100.66,100.09,100.25,41800.0
2000-06-05,99.69,99.7,99.41,99.48,65900.0
2000-06-06,99.41,100.12,98.88,98.88,119500.0
2000-06-07,98.03,98.95,98.03,98.77,1500.0
2000-06-08,98.91,99.02,98.31,98.31,301700.0
2000-06-09,99.16,99.7,99.16,99.27,1800.0
2000-06-12,99.62,99.62,97.58,97.61,73100.0
2000-06-13,98.09,98.09,97.12,97.83,103100.0
2000-06-14,99.28,99.28,98.0,98.0,35800.0
2000-06-15,98.0,99.5,97.75,99.5,225300.0
2000-06-16,99.19,99.78,98.94,99.12,302300.0
2000-06-19,99.16,100.97,99.0,100.78,6200.0
2000-06-20,101.12,101.5,100.52,101.39,77600.0
2000-06-21,101.0,101.31,100.92,101.08,100600.0
2000-06-22,99.72,100.08,98.31,98.31,230400.0
2000-06-23,98.3,98.52,97.39,97.5,150500.0
2000-06-26,98.22,98.22,97.62,97.98,27200.0
2000-06-27,98.25,98.39,97.12,97.38,48800.0
2000-06-28,97.28,98.47,97.28,98.47,2500.0
2000-06-29,98.03,99.0,97.73,98.94,182000.0
2000-06-30,96.88,97.03,96.88,97.03,4300.0
2000-07-03,97.03,98.33,97.0,98.33,52600.0
2000-07-05,97.41,97.86,97.09,97.09,5000.0
2000-07-06,97.22,98.14,96.97,98.14,407600.0
2000-07-07,98.72,99.64,98.72,99.44,26900.0
2000-07-10,100.17,100.86,100.09,100.77,102200.0
2000-07-11,100.56,101.78,100.56,101.41,132500.0
2000-07-12,102.19,102.84,102.0,102.81,124300.0
2000-07-13,103.25,103.25,102.89,102.95,46300.0
2000-07-14,103.36,103.58,102.92,103.58,80100.0
2000-07-17,103.41,103.67,103.27,103.62,13300.0
2000-07-18,103.25,103.36,102.34,102.34,170600.0
2000-07-19,102.12,102.56,101.25,101.25,88300.0
2000-07-20,102.27,102.67,102.27,102.36,9300.0
2000-07-21,101.38,101.45,101.0,101.0,35800.0
2000-07-24,101.09,101.11,100.0,100.12,51600.0
2000-07-25,100.22,100.22,99.3,99.62,83600.0
2000-07-26,99.39,99.39,98.09,99.25,66500.0
2000-07-27,98.53,98.67,97.89,98.14,33500.0
2000-07-28,98.14,98.14,96.28,96.91,30500.0
2000-07-31,97.38,97.88,97.38,97.88,1100.0
2000-08-01,98.34,98.69,98.3,98.3,3700.0
2000-08-02,98.19,99.77,98.06,99.77,5900.0
2000-08-03,97.38,99.16,97.38,99.16,3700.0
2000-08-04,100.75,101.03,100.72,100.91,12000.0
2000-08-07,102.44,102.48,102.23,102.23,600.0
2000-08-08,102.38,102.69,102.38,102.62,7400.0
2000-08-09,102.98,103.14,101.47,101.47,65200.0
2000-08-10,101.59,101.75,101.09,101.09,105200.0
2000-08-11,101.12,102.83,100.88,102.83,99700.0
2000-08-14,103.0,103.91,103.0,103.81,75800.0
2000-08-15,103.2,103.45,103.09,103.14,154500.0
2000-08-16,103.92,103.92,103.31,103.31,4300.0
2000-08-17,103.69,104.45,103.64,104.44,70400.0
2000-08-18,105.16,105.25,104.53,104.94,15800.0
2000-08-21,105.22,105.38,104.66,104.95,10800.0
2000-08-22,105.2,105.38,104.92,105.03,57100.0
2000-08-23,104.81,105.38,104.23,105.38,121600.0
2000-08-24,105.66,106.33,105.23,106.33,80600.0
2000-08-25,106.25,106.66,106.25,106.58,23100.0
2000-08-28,106.66,107.38,106.66,107.08,195800.0
2000-08-29,106.69,107.33,106.62,107.33,338800.0
2000-08-30,107.06,107.52,107.06,107.38,7200.0
2000-08-31,108.0,109.09,107.98,108.89,276400.0
2000-09-01,109.69,109.92,109.34,109.88,25300.0
2000-09-05,109.62,109.62,108.8,108.81,27600.0
2000-09-06,108.34,108.59,107.95,108.34,80600.0
2000-09-07,108.97,110.14,108.75,110.14,108800.0
2000-09-08,109.62,109.62,109.08,109.34,227100.0
2000-09-11,108.84,110.17,108.84,109.27,45700.0
2000-09-12,109.78,109.97,108.5,108.72,212000.0
2000-09-13,108.5,108.78,108.0,108.28,207900.0
2000-09-14,109.28,109.8,109.28,109.33,115800.0
2000-09-15,108.72,109.09,108.31,108.41,128600.0
2000-09-18,108.66,108.66,105.16,105.25,478000.0
2000-09-19,105.67,106.62,105.31,106.62,239100.0
2000-09-20,106.69,106.69,105.23,106.47,293900.0
2000-09-21,105.48,105.81,104.89,104.89,98900.0
2000-09-22,103.95,105.06,103.56,105.0,145000.0
2000-09-25,106.19,106.83,106.03,106.03,29200.0
2000-09-26,105.89,106.66,105.38,105.45,134300.0
2000-09-27,106.62,106.73,105.44,105.81,252000.0
2000-09-28,106.09,108.69,106.09,108.69,241400.0
2000-09-29,108.41,108.41,107.48,107.48,161900.0
2000-10-02,108.25,108.25,106.39,106.41,196300.0
2000-10-03,107.09,107.14,104.47,104.47,108300.0
2000-10-04,104.12,104.77,103.5,104.61,112000.0
2000-10-05,104.88,105.22,104.45,104.81,38200.0
2000-10-06,104.98,104.98,102.16,102.62,132600.0
2000-10-09,102.59,102.75,100.98,102.47,48000.0
2000-10-10,102.53,102.83,100.06,100.12,119600.0
2000-10-11,99.09,100.19,98.28,99.47,125900.0
2000-10-12,98.64,99.03,96.84,97.05,169700.0
2000-10-13,97.06,100.12,97.06,100.12,59900.0
2000-10-16,100.25,101.11,99.72,100.88,28900.0
2000-10-17,101.28,101.28,97.97,98.58,136200.0
2000-10-18,95.38,99.12,95.38,99.06,10100.0
2000-10-19,100.12,101.75,100.09,101.75,104900.0
2000-10-20,102.0,103.66,102.0,103.47,35300.0
