date,1. open,2. high,3. low,4. close,5. volume
2004-09-29,49.85,49.99,49.84,49.85,205800.0
2004-09-30,50.0,50.33,49.99,50.25,27900.0
2004-10-01,50.35,51.25,50.25,51.18,129800.0
2004-10-04,51.39,51.55,51.39,51.4,8100.0
2004-10-05,51.4,51.5,51.35,51.39,11900.0
2004-10-06,51.5,51.63,51.49,51.63,9300.0
2004-10-07,51.65,51.65,51.1,51.1,7900.0
2004-10-08,51.57,51.57,51.25,51.35,16400.0
2004-10-11,51.5,51.5,51.1,51.15,4500.0
2004-10-12,51.2,51.32,51.0,51.32,3600.0
2004-10-13,51.55,51.58,51.45,51.45,2500.0
2004-10-14,51.45,51.86,51.45,51.85,19200.0
2004-10-15,52.1,52.38,52.08,52.38,9800.0
2004-10-18,52.35,52.8,52.29,52.66,4000.0
2004-10-19,52.8,53.0,52.38,52.38,6200.0
2004-10-20,52.3,52.3,51.64,52.13,5500.0
2004-10-21,52.03,52.66,52.03,52.66,7400.0
2004-10-22,52.65,52.9,52.24,52.24,69900.0
2004-10-25,52.2,52.2,51.81,51.99,14000.0
2004-10-26,52.13,52.48,52.02,52.48,9000.0
2004-10-27,52.86,53.1,52.74,53.1,9100.0
2004-10-28,53.01,53.25,52.97,53.13,12800.0
2004-10-29,53.43,53.43,52.98,53.1,50200.0
2004-11-01,53.2,53.62,53.18,53.62,5400.0
2004-11-02,53.72,53.72,53.1,53.1,14100.0
2004-11-03,53.89,53.89,53.56,53.64,12800.0
2004-11-04,53.6,54.45,53.6,54.45,5200.0
2004-11-05,54.29,54.29,52.9,52.98,51900.0
2004-11-08,53.15,53.21,52.89,53.12,31600.0
2004-11-09,53.13,53.32,53.04,53.32,22300.0
2004-11-10,53.4,53.84,53.26,53.7,13600.0
2004-11-11,53.73,54.1385,53.7,54.1385,13600.0
2004-11-12,54.27,55.2,54.19,55.2,14900.0
2004-11-15,55.53,55.96,55.45,55.9,39900.0
2004-11-16,56.22,56.22,55.56,55.56,26000.0
2004-11-17,55.75,55.8,54.08,54.27,21500.0
