date,1. open,2. high,3. low,4. close,5. volume
1999-11-01,25.5,25.67,25.19,25.25,374100.0
1999-11-02,25.19,25.75,25.14,25.22,428500.0
1999-11-03,25.25,25.41,25.03,25.11,52000.0
1999-11-04,25.56,25.7,25.33,25.41,549200.0
1999-11-05,26.09,26.38,25.91,26.03,332600.0
1999-11-08,25.97,26.0,25.75,25.89,583300.0
1999-11-09,26.0,26.0,25.25,25.39,111900.0
1999-11-10,25.08,25.33,24.95,25.0,90100.0
1999-11-11,24.78,24.97,24.64,24.86,173900.0
1999-11-12,25.41,25.97,24.72,25.94,520600.0
1999-11-15,25.88,26.0,25.73,25.92,146200.0
1999-11-16,26.11,26.78,26.08,26.63,513900.0
1999-11-17,26.44,26.52,25.94,26.06,343500.0
1999-11-18,26.2,26.2,25.66,25.98,160500.0
1999-11-19,25.98,26.0,25.56,25.59,195000.0
1999-11-22,25.5,25.5,25.28,25.5,176000.0
1999-11-23,25.31,25.31,24.81,25.09,172200.0
1999-11-24,24.81,24.88,24.64,24.8,103800.0
1999-11-26,24.97,24.97,24.63,24.63,73800.0
1999-11-29,24.28,24.31,24.03,24.03,777200.0
1999-11-30,24.03,24.75,24.03,24.44,115300.0
1999-12-01,24.19,24.56,24.19,24.25,515800.0
1999-12-02,24.48,24.56,24.13,24.36,99300.0
1999-12-03,25.03,25.41,24.94,24.94,1195300.0
1999-12-06,24.81,24.81,24.16,24.27,230500.0
1999-12-07,24.19,24.22,23.94,24.22,1032400.0
1999-12-08,24.16,24.16,23.64,23.64,594900.0
1999-12-09,23.91,24.03,23.61,23.98,116700.0
1999-12-10,24.34,24.55,24.14,24.41,600700.0
1999-12-13,24.09,24.28,23.98,24.13,298600.0
1999-12-14,23.78,24.0,23.52,23.55,357900.0
1999-12-15,23.52,23.63,23.38,23.48,363700.0
1999-12-16,23.22,23.34,22.81,22.97,397500.0
1999-12-17,22.94,23.27,22.94,23.06,1315400.0
1999-12-20,23.16,23.23,22.72,22.88,972700.0
1999-12-21,22.88,23.66,22.81,23.31,1278200.0
1999-12-22,23.41,23.47,23.16,23.31,1113600.0
1999-12-23,23.31,23.75,23.31,23.69,458500.0
1999-12-27,23.91,23.97,23.5,23.5,2770300.0
1999-12-28,23.5,23.53,23.34,23.41,110700.0
1999-12-29,23.34,23.8,23.34,23.64,102200.0
1999-12-30,23.75,24.0,23.59,23.75,232300.0
1999-12-31,24.0,24.0,23.66,23.77,558100.0
2000-01-03,23.72,23.72,22.72,22.88,963200.0
2000-01-04,22.38,22.41,21.67,21.88,719500.0
2000-01-05,21.88,22.11,21.47,21.89,582600.0
2000-01-06,21.77,22.8,21.77,22.66,337800.0
2000-01-07,22.81,23.06,22.5,23.03,380300.0
2000-01-10,23.22,23.22,22.56,22.63,374200.0
2000-01-11,22.41,22.69,22.25,22.25,386800.0
2000-01-12,22.42,22.81,22.42,22.69,116400.0
2000-01-13,23.09,23.48,22.97,23.38,897300.0
2000-01-14,23.66,24.08,23.64,23.92,594300.0
2000-01-18,23.84,23.84,23.13,23.13,378700.0
2000-01-19,23.14,23.59,23.0,23.05,275800.0
2000-01-20,23.22,23.22,22.5,22.63,477800.0
2000-01-21,22.75,22.75,22.22,22.34,404800.0
2000-01-24,22.56,22.56,21.75,21.94,281700.0
2000-01-25,21.94,22.34,21.91,22.17,188200.0
2000-01-26,22.34,23.03,22.31,23.0,512200.0
2000-01-27,23.11,23.39,22.88,23.25,213300.0
2000-01-28,22.63,22.88,22.25,22.44,138900.0
2000-01-31,22.19,23.06,22.19,23.06,440100.0
2000-02-01,23.19,23.23,22.84,23.19,269700.0
2000-02-02,23.13,23.16,22.81,22.95,324800.0
2000-02-03,22.94,23.06,22.39,22.81,284500.0
2000-02-04,22.89,23.0,22.44,22.58,175900.0
2000-02-07,22.41,22.53,22.19,22.34,74400.0
2000-02-08,22.63,22.75,22.47,22.59,494300.0
2000-02-09,22.59,22.59,21.91,22.06,181600.0
2000-02-10,22.09,22.09,21.25,21.45,521100.0
2000-02-11,21.75,22.0,21.31,21.5,478200.0
2000-02-14,21.53,21.69,21.08,21.69,824300.0
2000-02-15,21.28,21.8,21.13,21.72,303400.0
2000-02-16,21.66,21.75,21.14,21.27,305700.0
2000-02-17,21.63,21.63,20.78,21.0,497000.0
2000-02-18,20.91,20.91,20.06,20.25,716300.0
2000-02-22,20.47,20.59,20.0,20.44,458600.0
2000-02-23,20.5,20.61,20.16,20.36,318800.0
2000-02-24,20.16,20.31,19.72,19.94,354000.0
2000-02-25,20.09,20.47,19.66,19.81,494000.0
2000-02-28,20.31,20.64,20.0,20.45,995400.0
2000-02-29,20.7,20.73,20.25,20.59,353500.0
2000-03-01,20.63,21.06,20.5,20.88,1282400.0
2000-03-02,20.75,20.91,20.39,20.75,487700.0
2000-03-03,21.19,21.19,20.75,20.94,339900.0
2000-03-06,20.83,21.05,20.53,20.73,1525800.0
2000-03-07,20.5,20.69,19.88,20.11,1018100.0
2000-03-08,19.78,20.0,19.5,19.88,527400.0
2000-03-09,19.64,20.09,19.56,19.98,312900.0
2000-03-10,19.94,20.25,19.94,20.05,149000.0
2000-03-13,19.47,20.47,19.47,20.25,334400.0
2000-03-14,20.16,20.55,20.13,20.17,232500.0
2000-03-15,20.28,21.5,20.0,21.41,980200.0
2000-03-16,21.98,23.25,21.83,23.23,1739800.0
2000-03-17,23.19,23.69,23.03,23.17,873900.0
2000-03-20,23.23,23.25,22.48,22.73,343000.0
2000-03-21,22.48,23.59,22.47,23.56,757400.0
2000-03-22,23.52,23.88,23.38,23.77,674800.0
2000-03-23,23.72,24.75,23.52,24.59,588600.0
2000-03-24,24.91,25.19,24.47,24.88,536300.0
2000-03-27,24.86,24.86,23.88,24.06,257200.0
2000-03-28,23.81,24.53,23.81,24.25,301800.0
2000-03-29,24.5,24.5,23.83,24.06,192600.0
2000-03-30,24.28,24.38,23.91,24.11,415700.0
2000-03-31,23.91,24.44,23.75,24.27,1246000.0
2000-04-03,24.78,25.44,24.66,25.44,438600.0
2000-04-04,25.5,25.63,23.5,24.42,1273800.0
2000-04-05,24.31,24.69,24.14,24.23,281400.0
2000-04-06,24.55,24.56,24.27,24.5,278700.0
2000-04-07,24.66,24.66,23.94,24.0,636400.0
2000-04-10,24.06,24.8,23.83,24.69,145500.0
2000-04-11,24.78,24.89,24.34,24.84,132300.0
2000-04-12,25.0,25.8,25.0,25.11,888000.0
2000-04-13,24.72,24.91,24.39,24.45,642100.0
2000-04-14,23.31,23.72,22.13,22.47,849100.0
2000-04-17,23.0,23.03,22.25,22.66,404800.0
2000-04-18,22.56,23.75,22.56,23.56,738900.0
2000-04-19,23.41,23.59,22.94,23.25,177600.0
2000-04-20,23.27,23.69,23.13,23.69,142200.0
2000-04-24,23.56,24.25,23.44,24.25,159600.0
2000-04-25,24.25,25.09,24.25,25.0,205300.0
2000-04-26,24.98,24.98,24.39,24.5,762600.0
2000-04-27,23.75,24.22,23.58,24.0,138300.0
2000-04-28,24.0,24.5,23.31,24.5,354300.0
2000-05-01,23.38,24.28,23.34,23.95,95100.0
2000-05-02,23.69,23.94,23.64,23.72,145800.0
2000-05-03,23.78,23.98,23.09,23.3,345500.0
2000-05-04,23.13,23.19,22.78,22.94,146900.0
2000-05-05,22.69,23.16,22.66,23.09,60500.0
2000-05-08,22.84,23.56,22.84,23.55,40000.0
2000-05-09,23.69,23.97,23.22,23.48,569800.0
2000-05-10,23.42,23.44,22.84,22.86,283000.0
2000-05-11,23.16,23.67,23.16,23.55,238700.0
2000-05-12,23.5,24.09,23.44,23.81,496500.0
2000-05-15,23.94,24.91,23.94,24.88,400700.0
2000-05-16,24.89,25.11,24.53,24.73,176500.0
2000-05-17,24.27,24.66,24.25,24.31,95900.0
2000-05-18,24.47,25.09,24.47,24.63,230700.0
2000-05-19,24.66,24.66,24.0,24.19,148100.0
2000-05-22,24.3,24.5,23.88,24.5,146100.0
2000-05-23,24.38,24.75,24.28,24.66,165500.0
2000-05-24,24.52,25.19,24.52,24.97,270200.0
2000-05-25,24.92,25.03,24.09,24.34,432800.0
2000-05-26,24.13,24.47,24.0,24.25,523700.0
2000-05-30,24.7,24.81,24.44,24.75,256200.0
2000-05-31,24.78,25.09,24.63,25.05,123500.0
2000-06-01,25.17,25.92,25.13,25.88,472000.0
2000-06-02,27.13,27.16,26.56,26.94,1106700.0
2000-06-05,26.88,26.88,26.06,26.33,174000.0
2000-06-06,26.13,26.64,25.5,25.75,237800.0
2000-06-07,25.67,26.31,25.67,26.13,94200.0
2000-06-08,26.16,26.16,25.53,25.69,248200.0
2000-06-09,25.94,26.0,25.13,25.25,227000.0
2000-06-12,25.31,25.53,25.28,25.47,85000.0
2000-06-13,25.25,25.75,25.13,25.44,559900.0
2000-06-14,25.69,26.16,25.56,25.88,234800.0
2000-06-15,25.5,25.63,24.84,25.27,952300.0
2000-06-16,24.81,24.91,23.81,24.0,1101500.0
2000-06-19,23.88,24.75,23.88,24.63,687100.0
2000-06-20,24.73,24.75,24.25,24.31,637800.0
2000-06-21,24.13,24.34,23.88,24.13,371300.0
2000-06-22,23.88,24.11,23.63,24.11,382200.0
2000-06-23,24.13,24.44,23.91,23.94,451900.0
2000-06-26,24.19,24.47,24.06,24.31,175500.0
2000-06-27,24.56,24.69,24.34,24.55,220000.0
2000-06-28,24.66,24.75,24.31,24.36,315900.0
2000-06-29,24.08,24.44,24.0,24.34,75300.0
2000-06-30,24.09,24.25,23.41,23.75,630400.0
2000-07-03,23.75,24.19,23.56,24.19,418000.0
2000-07-05,24.39,24.75,24.13,24.45,553700.0
2000-07-06,24.25,24.75,24.08,24.64,374200.0
2000-07-07,24.89,25.22,24.7,25.06,300600.0
2000-07-10,25.19,25.41,25.06,25.13,375900.0
2000-07-11,25.28,25.56,25.14,25.25,178000.0
2000-07-12,25.78,25.91,25.5,25.61,186800.0
2000-07-13,25.73,25.73,25.25,25.36,449800.0
2000-07-14,25.47,25.94,25.47,25.78,121000.0
2000-07-17,25.75,25.88,25.28,25.3,137600.0
2000-07-18,25.14,25.34,24.97,25.34,69000.0
2000-07-19,25.16,25.41,25.09,25.25,69800.0
2000-07-20,25.28,26.06,25.28,25.89,97300.0
2000-07-21,25.94,26.22,25.72,25.81,164300.0
2000-07-24,25.94,26.25,25.72,25.97,234400.0
2000-07-25,25.98,26.13,25.78,26.02,253200.0
2000-07-26,25.94,26.16,25.69,25.89,145400.0
2000-07-27,25.84,26.34,25.84,25.97,130600.0
2000-07-28,25.94,26.13,25.41,25.41,199700.0
2000-07-31,25.78,26.09,25.47,25.84,154600.0
2000-08-01,25.98,26.17,25.88,26.02,71200.0
2000-08-02,26.16,26.34,25.91,25.98,59800.0
2000-08-03,26.09,26.75,26.03,26.67,132400.0
2000-08-04,27.0,27.7,26.92,27.7,298600.0
2000-08-07,27.56,27.78,27.16,27.78,561600.0
2000-08-08,27.78,27.78,27.44,27.78,124500.0
2000-08-09,27.53,27.91,27.06,27.59,355000.0
2000-08-10,27.78,27.84,27.28,27.44,153700.0
2000-08-11,27.56,27.88,27.31,27.86,136500.0
2000-08-14,27.77,28.23,27.5,28.22,117900.0
2000-08-15,28.06,28.06,27.59,27.7,53800.0
2000-08-16,27.91,27.97,27.47,27.59,130700.0
2000-08-17,27.28,27.75,27.28,27.73,288700.0
2000-08-18,27.69,27.69,27.41,27.53,149800.0
2000-08-21,27.42,27.84,27.39,27.75,76800.0
2000-08-22,27.66,28.22,27.66,28.05,195900.0
2000-08-23,27.91,28.19,27.63,27.69,351000.0
2000-08-24,27.66,27.88,27.44,27.64,147700.0
2000-08-25,27.73,27.73,27.27,27.27,85400.0
2000-08-28,27.48,27.97,27.38,27.78,115700.0
2000-08-29,27.84,27.84,27.25,27.5,82800.0
2000-08-30,27.5,28.05,27.5,27.75,140600.0
2000-08-31,27.72,28.63,27.72,28.47,436900.0
2000-09-01,28.5,28.5,28.0,28.0,751200.0
2000-09-05,28.16,28.44,27.98,28.34,459900.0
2000-09-06,28.47,28.81,28.38,28.56,219400.0
2000-09-07,28.38,28.53,28.19,28.33,144200.0
2000-09-08,28.25,29.0,28.25,28.97,3890600.0
2000-09-11,29.22,29.56,29.13,29.55,1298300.0
2000-09-12,29.63,29.63,29.31,29.5,1325600.0
2000-09-13,29.31,29.61,29.06,29.31,341600.0
2000-09-14,29.33,29.44,29.16,29.2,221700.0
2000-09-15,29.22,29.22,28.53,28.64,173200.0
2000-09-18,28.31,28.36,27.58,27.69,430300.0
2000-09-19,27.73,28.3,27.73,28.28,196600.0
2000-09-20,28.16,28.16,27.34,27.88,179500.0
2000-09-21,27.75,27.75,27.13,27.56,145800.0
2000-09-22,27.47,28.19,27.44,28.09,91400.0
2000-09-25,28.25,28.73,28.19,28.55,94100.0
2000-09-26,28.38,28.72,28.19,28.36,57800.0
2000-09-27,28.38,28.41,28.02,28.38,333800.0
2000-09-28,28.22,29.23,28.22,29.09,357700.0
2000-09-29,28.97,29.41,28.94,29.0,96200.0
2000-10-02,28.97,29.44,28.5,29.41,309900.0
2000-10-03,29.31,29.63,29.27,29.38,126100.0
2000-10-04,29.13,29.31,28.83,29.0,421600.0
2000-10-05,29.06,29.48,29.06,29.28,248800.0
2000-10-06,29.06,29.19,27.75,28.06,1630400.0
2000-10-09,27.81,27.98,27.56,27.63,126900.0
2000-10-10,27.78,27.78,26.56,26.83,3123800.0
2000-10-11,26.47,26.88,26.0,26.88,3596000.0
2000-10-12,26.66,26.66,25.2,25.31,912000.0
2000-10-13,25.53,26.75,25.53,26.63,1015200.0
2000-10-16,26.58,26.95,26.39,26.86,136100.0
2000-10-17,27.09,27.09,25.88,26.13,465200.0
2000-10-18,24.88,26.45,24.88,25.83,1370100.0
2000-10-19,26.53,27.25,26.53,27.05,397000.0
2000-10-20,27.13,27.38,27.0,27.16,378800.0
2000-10-23,27.06,27.13,26.59,26.7,261000.0
